type,title,author,year,latitude,longitude,image_name
Escultura,GENERAL FRANCISCO DE PAULA SANTANDER,BERNARDO VIECO,1940,6.246253,-75.564569,bernardovieco_generalfranciscodepaulasantander.png
Escultura,TOMÁS CARRASQUILLA,GUSTAVO LÓPEZ,1978,6.236246,-75.580366,gustavolopez_tomascarrasquilla.png
Escultura,SIN TÍTULO,SERGIO DE CAMARGO,1983,6.235943,-75.581376,sergiodecamargo_sintitulo.png
Escultura,CONSTRUCCIÓN,JOHN CASTLES,1983,6.236149,-75.578819,johncastles_constuccion.png
Escultura,CONSTRUCCIÓN,MANUEL FELGUEREZ,1983,6.235624,-75.581552,manuelfelguerez_construccion.png
Escultura,TORRE,EDGAR NEGRET,1983,6.236301,-75.581435,edgarnegret_torre.png
Escultura,SIGNO ALETETEANDO EL ESPACIO,OTTO HERBERT HAJEK,1988,6.236401,-75.578487,ottoherberthajek_signoaleteando.png
Escultura,ESTRUCTURA CROMOVEGETAL,CARLOS CRUZ DIEZ,1983,6.237100,-75.579372,carloscruzdiez_estructuracromovegetal.png
Escultura,SIN TÍTULO,CARLOS ROJAS,1983,6.235260,-75.578866,carlosrojas_sintitulo.png
Escultura,SIN TÍTULO,JULIO LE PARC,sin fecha,6.235776,-75.581579,julioleparc_sintitulo.png
Escultura,SIN TÍTULO,ALBERTO URIBE DUQUE,1983,6.235786,-75.580902,albertouribe_sintitulo.png
Escultura,CACIQUE NUTIBARA,JOSE HORACIO BETANCUR,1955,6.236226,-75.580533,josehoraciobetancur_caciquenutibara.png
Escultura,"GUILLERMO ZULUAGA ""MONTECRISTO""",LUZ MARIA PIEDRAHITA,2000,6.235919,-75.580224,luzmariapierahita_guillermozuluaga.png
Escultura,"""M"" CROMO INTERFERENCIA",CARLOS CRUZ DIEZ,1985,6.256272,-75.579035,carloscruzdiez_mcromo.png
Escultura,SIMÓN BOLIVAR,JOSUE GIRALDO,1930,6.232496,-75.596721,josuegiraldo_simonbolivar.png
Escultura,GILBERTO ALZATE AVENDAÑO,GUSTAVO LÓPEZ,1978,6.231142,-75.602537,gustavolopez_gilbertoalzateavendano.png
Escultura,MARCO FIDEL SUAREZ,OCTAVIO MONTOYA,1954,6.244966,-75.597061,octaviomontoya_marcofidelsuarez.png
Escultura,ATANASIO GIRARDOT,JOSE HORACIO BETANCUR,1954,6.257125,-75.591322,josehoraciobetancur_atanasiogirardot.png
Escultura,LA BACHUE,JOSE HORACIO BETANCUR,1954,6.247594,-75.559702,josehoraciobetancur_labachue.png
Escultura,BERNARDO HERRERA RESTREPO,ALFONSO GOEZ,1962,6.247925,-75.561419,alfonsogoez_bernardoherrerarestrepo.png
Escultura,MISTER JAMES TYLER MOORE,GUSTAVO LÓPEZ,1962,6.248586,-75.563522,gustavolopez_misterjamestylermoore.png
Escultura,MANUEL URIBE ÁNGEL,JAIRO CANO ECHANDÍA,1963,6.248245,-75.562309,jairocanoechandia_manueluribeangel.png
Escultura,PEDRO JUSTO BERRÍO,OCTAVIO MONTOYA,1963,6.248246,-75.562310,octaviomontoya_pedrojustoberrio.png
Escultura,JOSE MARÍA MARTINEZ PARDO,GUSTAVO LÓPEZ,1962,6.248266,-75.562535,gustavolopez_josemariamartinezprado.png
Escultura,MARIANO OSPINA RODRIGUEZ,JAIRO CANO ECHANDÍA,1963,6.248319,-75.562739,jairocanoechandia_marianoospinarodriguez.png
Escultura,JUAN DE LA CRUZ GOMEZ PLATA,JAIRO CANO ECHANDÍA,1963,6.248362,-75.562900,jairocanoechandia_juandelacruzgomezplata.png
Escultura,JOSE FELIX DE RESTREPO,OCTAVIO MONTOYA,1963,6.248266,-75.562310,octaviomontoya_josefelixderestrepo.png
Escultura,JOSE MANUEL RESTREPO,JAIRO CANO ECHANDÍA,1963,6.248469,-75.563200,jairocanoechandia_josemanuelrestrepo.png
Escultura,JUAN DEL CORRAL,BERNARDO VIECO,1963,6.248530,75.563354,bernardovieco_juandelcorral.png
Escultura,JUAN ANTONIO MON Y VELARDE,OCTAVIO MONTOYA,1963,6.248487,-75.563290,octaviomontoya_juanantoniomonyvelarde.png
Escultura,GASPAR DE RODAS,JAIRO CANO ECHANDÍA,1963,6.248661,-75.563561,jairocanoechandia_gasparderodas.png
